outcome,onCampus,loan,scholarship,firstgen,act,ap,remedial,ratio,cdw_count
Graduated,1,0,0,1,22,0,0,100,0
Graduated,1,0,0,1,31,12,0,100,3
Graduated,1,0,0,1,24,0,0,6.666667,2
Did not Graduate,0,0,0,1,25,0,0,100,0
Graduated,1,2.6370001,0,1,30,10,0,100,0
Did not Graduate,1,0,0,0,17,0,1,100,0
Did not Graduate,1,1.294,0,0,17,0,0,71.428574,2
Graduated,1,6.3429999,0,1,26,0,0,100,0
Did not Graduate,0,2.2590001,0,0,21,0,1,100,1
Did not Graduate,1,3.5439999,0,0,13,0,1,69.230766,2
Graduated,1,0,0,1,23,0,0,100,0
Did not Graduate,1,2.2460001,0,1,23,0,0,100,0
Graduated,1,1.294,0,1,26,0,0,100,0
Did not Graduate,1,4.5149999,0,0,25,0,0,80,3
Graduated,0,1.747,0,1,20,6,0,100,1
Graduated,1,4.1069999,1.5,1,26,13,0,100,1
Did not Graduate,1,6.697,0,1,32,8,0,100,0
Graduated,1,0,0,1,30,7,0,66.666672,0
Graduated,0,0,0,0,21,0,1,100,0
Transferred,1,0,0,0,26,7,0,75,1
Graduated,1,0,0,0,22,0,1,73.333344,2
Graduated,1,0,0,1,30,11,0,100,0
Graduated,1,0,0,1,26,0,0,100,0
Graduated,1,1.753,0,1,24,0,0,100,0
Did not Graduate,1,7.3930001,0.25,1,28,0,0,100,1
Transferred,0,0,0,0,19,0,0,57.14286,2
Transferred,1,0,0,1,28,0,0,100,0
Graduated,1,0,1.5,1,26,0,0,100,0
Graduated,1,1.253,1.5,0,27,16,0,100,0
Did not Graduate,0,5.7579999,0,1,29,11,0,100,2
Graduated,1,2.2690001,0,1,27,0,0,93.75,1
Did not Graduate,1,0,0,1,29,4,0,50,4
Graduated,1,0,0,0,22,0,0,100,0
Graduated,1,0,0.125,1,24,0,0,100,1
Graduated,1,0,0,1,31,28,0,76.470589,1
Did not Graduate,1,6.3429999,0,0,27,0,0,100,2
Graduated,1,0,0,1,30,0,0,100,0
Transferred,0,1.5,0,1,20,0,0,73.333344,2
Did not Graduate,0,1.294,1.95,1,29,0,0,33.33334,2
Graduated,0,0,1.5,1,24,6,0,100,0
Did not Graduate,1,1.294,0,1,22,0,0,76.470589,0
Did not Graduate,0,0,0,0,19,0,1,100,0
Did not Graduate,0,0,0,0,11,0,1,73.333344,4
